cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
        9              26       1   0.395  0.660  76488     1.091           0.5       114.0       114.5      40.4      37.0
       10              41       1   0.065  0.082   1204     1.189           0.1       109.9       110.0      28.5      33.9
       11              26       1   0.196  0.429  46360     1.189           0.8       117.2       116.3      31.1      37.0
       12              34       1   0.193  0.274   4260     1.000           0.4       109.7       110.2      24.0      24.0
       13              25       1   0.539  0.969  174388     1.091           0.6       116.9       117.6     161.5     176.1
       14              82       1   0.108  0.247   1932     1.000           1.3        88.6        89.9      26.2      26.2
       15              26       1   0.370  0.430  48148     1.091           0.1       115.0       114.9      40.4      37.0
       16              66       1   0.177  0.193   1952     1.091           0.0       120.0       120.0      26.2      28.5
       17              27       1   0.557  0.657  102268     1.091           0.1       116.4       116.3      80.7      74.0
       18              35       1   0.046  0.260   9460     1.091           4.2       131.2       127.0      37.0      40.4
       19              30       1   0.186  0.351  43944     1.189           0.6       110.6       110.0     135.8     114.2
       20              82       1   0.010  0.118   1104     1.091          10.2       100.0        89.8      26.2      28.5
       21              47       1   0.005  0.062   4720     1.189           9.7       130.3       140.0     124.5     104.7
       22              32       1   0.096  0.202  27312     1.189           0.8       120.9       120.1      44.0      52.3
       23              26       1   0.005  0.075   7500     1.091          13.4        97.6       111.0      33.9      31.1
       24              60       1   0.123  0.123   2012     1.000           0.0       120.0       120.0      57.1      57.1
       25              82       0   0.017  0.517   1244     1.000          28.5        61.3        89.8      24.0      24.0
       26              95       1   0.241  0.241    904     1.000           0.0       130.0       130.0      24.0      24.0
       27              43       1   0.181  0.420   8584     1.091           1.1       120.2       119.0      26.2      28.5
       28              82       1   0.267  0.302   1812     1.000           0.1        90.0        89.9      28.5      28.5
       29              39       0   0.013  0.014    248     1.091           0.0       110.0       110.0      24.0      26.2
       30              35       1   0.107  0.121   6424     1.091           0.0       130.0       130.0      40.4      37.0
       31              82       1   0.516  0.599   1460     1.000           0.2        90.0        89.8      24.0      24.0
       32              48       1   0.075  0.165   1888     1.189           0.9       120.9       120.0      37.0      44.0
       33             139       1   0.114  0.192   1796     1.091           0.5       130.0       129.5      31.1      28.5
       34              67       1   0.259  0.283   2308     1.091           0.0       130.0       130.0      26.2      24.0
       35              89       1   0.361  0.361   1040     1.000           0.0       120.0       120.0      28.5      28.5
       36              80       1   0.197  0.261   2456     1.091           0.2       130.0       130.2      31.1      28.5
       37              88       1   0.051  0.120   1040     1.091           1.1       108.9       110.0      33.9      37.0
       38              56       1   0.013  0.195    460     1.189          12.1       142.1       130.0      24.0      28.5
       39              82       0   0.006  0.451    896     1.000          78.5       168.3        89.7      24.0      24.0
       40              49       1   0.034  0.409  39080     1.091          10.0       120.0       110.0     249.0     228.3
       41              82       0   0.064  0.144    396     1.414           0.6        90.0        89.4      33.9      24.0
       42             113       1   0.233  0.254   1240     1.091           0.0       130.0       130.0      37.0      40.4
       43              39       1   0.011  0.129   2300     1.091          10.0       108.2       118.3      26.2      24.0
       44              64       1   0.034  0.411   8528     1.091          10.0       100.0       110.0      74.0      80.7
       45              62       1   0.375  0.446   2332     1.189           0.0       110.0       110.0      40.4      48.0
       46              41       1   0.126  0.137    588     1.091           0.0       110.0       110.0      31.1      33.9
       47              91       1   0.061  0.296   1860     1.091           3.5       125.0       128.4      28.5      31.1
       48              61       1   0.008  0.091    220     1.091          10.0        80.0        90.0      26.2      24.0
       49              62       1   0.018  0.254   4364     1.189          10.6        99.4       110.0      57.1      48.0
       50              40       1   0.090  0.290   1004     1.189           1.7       106.6       104.9      37.0      44.0
       51              70       1   0.067  0.079    368     1.189           0.0       130.0       130.0      28.5      33.9
       52              39       1   0.021  0.235   4100     1.189           8.6       110.0       118.6      28.5      24.0
       53              51       1   0.029  0.353   8164     1.091          10.0       120.0       130.0     135.8     148.1
       54              94       0   0.002  0.087    596     1.091          40.8        90.0       130.8      28.5      31.1
       55              82       0   0.004  0.340    704     1.000          89.7         0.0        89.7      24.0      24.0
       56              48       1   0.293  0.293   3168     1.000           0.0       120.0       120.0      44.0      44.0
       57              35       1   0.056  0.061   2196     1.091           0.0       130.0       130.0      33.9      37.0
       58             119       0   0.044  0.359   1700     1.834           3.5        96.5       100.0      28.5      52.3
       59             128       1   0.021  0.272   2760     1.189          10.0       120.0       130.0      57.1      48.0
       60              94       0   0.008  0.359   1892     1.189          35.5        99.4       135.0      26.2      31.1
       61              65       1   0.049  0.120    928     1.189           1.1       108.9       110.0      31.1      37.0
