Slice 4
Raw L6A clusters: 86
Kept after filter: 12
Removed (bad + overlaps): 74

idx  lam_med_km  amp_max_k  ang_med_deg_180  removed
  62       33.94       4.18           99.01        1
  63       28.54       3.90          110.00        1
  64       37.01       3.08          120.25        1
  65       48.00       3.09          109.76        1
  66       33.94       3.11          100.00        1
  67       31.12       3.03           99.16        1
  68       33.94       2.93           88.16        1
  69       26.17       2.91           85.56        1
  70       24.00       1.84          120.00        1
  71      114.16       2.78           86.95        1
  72       24.00       2.49           79.93        1
  73       26.17       2.44           70.45        0
  74       44.02       2.34           93.21        1
  75       28.54       2.28           80.06        1
  76       24.00       2.17          100.00        1
  77       26.17       2.08          101.66        1
  78       28.54       2.05          110.00        1
  79       31.12       2.02          100.00        1
  80       74.03       2.00           86.65        1
  81       28.54       1.94          120.00        1
  82       33.94       1.94          100.49        1
  83       28.54       1.88           78.72        1
  84      161.45       1.88           59.88        1
  85       57.08       1.83           81.93        1
  86       26.17       1.83          100.00        1
  87       28.54       1.75           71.20        1
  88       26.17       1.72          120.13        1
  89       24.00       1.72           70.00        1
  90       26.17       1.72          110.05        1
  91       24.00       1.50           80.00        1
  92      192.00       1.70           68.77        1
  93       31.12       1.09           60.90        0
  94       28.54       1.63           78.69        1
  95       31.12       1.63           82.77        1
  96       26.17       1.61           69.59        1
  97       44.02       1.61          100.00        1
  98       26.17       1.60           69.91        1
  99       74.03       1.60           90.00        1
 100       57.08       1.56           88.83        1
 101       37.01       1.56           90.00        1
 102       67.88       1.56          117.13        1
 103       33.94       1.55           79.23        1
 104       33.94       1.54           71.18        1
 105       33.94       1.53          100.00        1
 106       33.94       1.53           75.50        1
 107       31.12       1.53           60.00        1
 108       74.03       1.52          110.00        1
 109       24.00       1.48          101.49        1
 110      148.05       1.48           63.61        1
 111       24.00       1.48           82.26        1
 112       33.94       1.46           57.92        0
 113       24.00       1.43          105.79        1
 114       44.02       1.43          120.07        1
 115       96.00       1.42          101.14        1
 116       57.08       1.42          101.60        1
 117       57.08       1.41          104.55        1
 118       24.00       1.40           80.33        0
 119       52.34       1.39           60.60        1
 120       33.94       1.37          130.00        1
 121       28.54       1.37          130.00        1
 122       28.54       1.25           90.00        0
 123       28.54       1.36          102.58        1
 124      124.50       1.35           40.00        0
 125       24.00       1.34          104.12        1
 126         nan        nan             nan        0
 127      228.33       1.33           70.00        1
 128       33.94       1.32          110.00        1
 129       33.94       1.32           77.38        1
 130       28.54       1.32           98.52        1
 131       48.00       1.32           90.61        1
 132       33.94       1.31           67.85        0
 133       44.02       1.31           80.00        1
 134       57.08       1.30           40.00        0
 135       26.17       1.30          100.11        1
 136       24.00       1.30           80.00        1
 137       80.73       1.29           70.00        1
 138         nan        nan             nan        0
 139       24.00       1.28          110.00        1
 140       26.17       1.28           80.00        0
 141       24.00       1.28           78.61        1
 142       24.00       1.27          127.94        0
 143       96.00       1.27           80.00        1
 144       40.36       1.27           74.64        1
 145       62.25       1.27          113.28        1
 146       24.00       1.26           80.00        1
 147       24.00       1.26          120.00        1
